Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts/010001,16,0,27,27.35289066185942,25.343166082166135,30.247249989770353,1886.5,0.133586303481951,0.0,27,28,28,28,30,30,30,30,30,30,30
GET,/alerts/010005,16,0,26,27.111005183542147,25.299082975834608,34.38933298457414,981.5,0.133586303481951,0.0,27,27,28,28,30,34,34,34,34,34,34
GET,/alerts/010006,12,0,26,27.807927176278707,24.653667001985013,46.47729196585715,2.0,0.10018972761146326,0.0,27,27,27,27,28,46,46,46,46,46,46
GET,/alerts/010007,18,0,27,27.279497486435705,25.575874955393374,33.67762500420213,1742.0,0.15028459141719488,0.0,27,27,27,28,30,34,34,34,34,34,34
GET,/alerts/010008,16,0,26,27.177036492503248,24.81729199644178,33.54845894500613,2.0,0.133586303481951,0.0,26,27,29,29,32,34,34,34,34,34,34
GET,/alerts/010011,9,0,27,38.58559726116558,25.38483391981572,106.14245804026723,1703.3333333333333,0.07514229570859744,0.0,27,27,29,53,110,110,110,110,110,110,110
GET,/alerts/010012,8,0,25,25.536520639434457,24.60708306171,26.564958039671183,2.0,0.0667931517409755,0.0,26,26,26,26,27,27,27,27,27,27,27
GET,/alerts/010016,13,0,26,26.15269539483751,24.752542027272284,28.03808299358934,2.0,0.10853887157908519,0.0,26,26,27,28,28,28,28,28,28,28,28
GET,/alerts/010018,10,0,26,26.035354030318558,24.534416035749018,26.923625031486154,2.0,0.08349143967621937,0.0,26,27,27,27,27,27,27,27,27,27,27
GET,/alerts/010019,9,0,27,26.570333297260934,24.729333934374154,27.849416946992278,2.0,0.07514229570859744,0.0,27,27,27,27,28,28,28,28,28,28,28
POST,/forecast/010001,7,0,110,108.81369655752289,102.83237509429455,131.85499992687255,1509.0,0.05844400777335357,0.0,110,110,110,110,130,130,130,130,130,130,130
POST,/forecast/010005,2,0,180,183.45591705292463,176.20633402839303,190.70550007745624,1865.0,0.016698287935243875,0.0,190,190,190,190,190,190,190,190,190,190,190
POST,/forecast/010006,3,0,120,119.45629170319687,114.09429204650223,123.58016602229327,1525.0,0.025047431902865815,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/forecast/010007,5,0,180,227.02013298403472,172.28966590482742,367.34679201617837,1848.0,0.041745719838109686,0.0,180,230,230,370,370,370,370,370,370,370,370
POST,/forecast/010008,4,0,120,130.16820853226818,113.82695904467255,149.30937509052455,1501.0,0.03339657587048775,0.0,140,140,150,150,150,150,150,150,150,150,150
POST,/forecast/010011,7,0,180,189.14751186301666,177.7359590632841,213.6807080823928,1837.0,0.05844400777335357,0.0,180,190,200,200,210,210,210,210,210,210,210
POST,/forecast/010012,7,0,160,192.27776814451707,159.9771250039339,303.0451670056209,1845.0,0.05844400777335357,0.0,160,160,230,230,300,300,300,300,300,300,300
POST,/forecast/010016,3,0,220,263.5481389782702,202.47358398046345,371.1628749733791,1857.0,0.025047431902865815,0.0,220,220,370,370,370,370,370,370,370,370,370
POST,/forecast/010018,5,0,120,161.74631679896265,113.24016703292727,297.2444579936564,1501.0,0.041745719838109686,0.0,120,160,160,300,300,300,300,300,300,300,300
POST,/forecast/010019,4,0,280,320.6672812520992,275.26904200203717,446.3051250204444,1816.0,0.03339657587048775,0.0,280,280,450,450,450,450,450,450,450,450,450
GET,/forecasts/010001,19,0,27,30.01845183194076,24.65174999088049,77.37283397000283,1649.0,0.15863373538481682,0.0,27,28,29,29,33,77,77,77,77,77,77
GET,/forecasts/010005,14,0,27,29.51834535425795,25.57037491351366,50.14362500514835,288.42857142857144,0.11688801554670714,0.0,27,29,30,32,33,50,50,50,50,50,50
GET,/forecasts/010006,25,0,27,29.26956163253635,25.677458033896983,51.45654105581343,1598.48,0.20872859919054845,0.0,27,28,29,30,34,43,51,51,51,51,51
GET,/forecasts/010007,18,0,27,29.424224566254352,25.295834057033062,71.98641705326736,1990.0,0.15028459141719488,0.0,27,27,28,28,31,72,72,72,72,72,72
GET,/forecasts/010008,17,0,27,26.673343217493418,25.48441698309034,28.033124981448054,1641.0,0.14193544744957295,0.0,27,27,27,27,28,28,28,28,28,28,28
GET,/forecasts/010011,21,0,27,27.619305532425642,25.145875057205558,47.6221248973161,1884.857142857143,0.1753320233200607,0.0,27,27,27,27,27,28,48,48,48,48,48
GET,/forecasts/010012,17,0,27,26.688504758674434,25.028749951161444,28.378583025187254,1986.0588235294117,0.14193544744957295,0.0,27,28,28,28,28,28,28,28,28,28,28
GET,/forecasts/010016,18,0,26,28.697331119070036,25.89545794762671,52.19045898411423,1996.0,0.15028459141719488,0.0,26,27,27,28,39,52,52,52,52,52,52
GET,/forecasts/010018,23,0,27,28.606989132442877,24.90091708023101,49.54208293929696,1569.7391304347825,0.19203031125530456,0.0,27,27,28,28,29,49,50,50,50,50,50
GET,/forecasts/010019,22,0,26,26.13703032892028,24.433666025288403,28.545041102916002,535.4545454545455,0.18368116728768263,0.0,26,27,27,27,27,27,29,29,29,29,29
GET,/snapshots/latest/010001,17,0,26,27.244387297233676,25.607959018088877,38.681874983012676,208.0,0.14193544744957295,0.0,26,27,27,28,28,39,39,39,39,39,39
GET,/snapshots/latest/010005,30,0,26,31.747440283652395,25.484166922979057,120.61866698786616,208.0,0.25047431902865813,0.0,26,27,28,29,48,55,120,120,120,120,120
GET,/snapshots/latest/010006,20,0,26,28.41951449518092,25.209875078871846,48.25908306520432,208.0,0.16698287935243875,0.0,26,26,27,27,45,48,48,48,48,48,48
GET,/snapshots/latest/010007,22,0,26,28.662147820630874,25.22741607390344,49.54149993136525,206.0,0.18368116728768263,0.0,27,27,27,31,33,38,50,50,50,50,50
GET,/snapshots/latest/010008,20,0,26,26.36501044034958,24.52112501487136,30.60462500434369,206.0,0.16698287935243875,0.0,26,26,27,27,29,31,31,31,31,31,31
GET,/snapshots/latest/010011,20,0,26,27.6424354466144,24.837791104801,51.83608294464648,209.0,0.16698287935243875,0.0,26,27,27,27,28,52,52,52,52,52,52
GET,/snapshots/latest/010012,25,0,26,27.58859347552061,24.771166034042835,51.818833919242024,207.0,0.20872859919054845,0.0,26,27,27,28,30,31,52,52,52,52,52
GET,/snapshots/latest/010016,20,0,26,29.791145806666464,24.83749995008111,53.46441699657589,209.0,0.16698287935243875,0.0,26,27,28,28,52,53,53,53,53,53,53
GET,/snapshots/latest/010018,21,0,27,29.959702298843435,25.324415997602046,76.69037510640919,207.0,0.1753320233200607,0.0,27,27,27,28,30,43,77,77,77,77,77
GET,/snapshots/latest/010019,20,0,26,29.554645833559334,25.427583954297006,61.0917080193758,208.0,0.16698287935243875,0.0,27,27,27,28,52,61,61,61,61,61,61
,Aggregated,583,0,27,40.993006297109225,24.433666025288403,446.3051250204444,881.253859348199,4.8675509331235896,0.0,27,27,28,29,52,160,210,280,450,450,450
