Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts/010001,18,0,190,3045.8233078825288,25.713250041007996,8521.92174992524,1889.0,0.15200852039708757,0.0,4700,5500,5800,6200,6500,8500,8500,8500,8500,8500,8500
GET,/alerts/010005,13,0,5300,4081.744169852195,46.06474994216114,8819.411208038218,1961.0,0.10978393139789658,0.0,5300,5600,5800,6100,8300,8800,8800,8800,8800,8800,8800
GET,/alerts/010006,18,0,180,2508.5005114928613,24.865082930773497,6249.93195803836,2.0,0.15200852039708757,0.0,1700,4400,5300,5600,6200,6200,6200,6200,6200,6200,6200
GET,/alerts/010007,18,0,1800,3259.8463611146954,25.844584102742374,8758.29795806203,1852.1666666666667,0.15200852039708757,0.0,4700,5200,5400,5500,8500,8800,8800,8800,8800,8800,8800
GET,/alerts/010008,19,0,59,2436.3025659388913,23.67641602177173,8188.465166953392,2.0,0.16045343819692579,0.0,59,4700,5500,5500,6500,8200,8200,8200,8200,8200,8200
GET,/alerts/010011,22,0,150,3005.434731058565,24.525040993466973,8836.393999983557,1917.0,0.18578819159644036,0.0,4300,5400,5700,6000,6500,8000,8800,8800,8800,8800,8800
GET,/alerts/010012,22,0,60,2694.7539716810834,24.502167012542486,9707.962749991566,2.0,0.18578819159644036,0.0,68,4800,5400,5700,6300,6400,9700,9700,9700,9700,9700
GET,/alerts/010016,15,0,49,2064.6881555439904,25.047707953490317,8709.963000030257,2.0,0.126673766997573,0.0,49,85,5100,5300,6500,8700,8700,8700,8700,8700,8700
GET,/alerts/010018,17,0,31,2355.041455874658,24.635041947476566,9552.571790991351,2.0,0.14356360259724937,0.0,31,4900,5900,6000,6600,9600,9600,9600,9600,9600,9600
GET,/alerts/010019,12,0,31,2113.5597605122407,24.932791013270617,6628.785667009652,2.0,0.10133901359805839,0.0,34,3700,4900,4900,5300,6600,6600,6600,6600,6600,6600
POST,/forecast/010001,8,0,120,1369.418171903817,104.08750001806766,6824.588624993339,1509.0,0.06755934239870559,0.0,150,160,3400,3400,6800,6800,6800,6800,6800,6800,6800
