Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts/010001,15,0,28,29.296138874876004,25.440583005547523,54.583667078986764,1889.0,0.12556558947023053,0.0,28,28,29,29,30,55,55,55,55,55,55
GET,/alerts/010005,10,0,27,33.17103737499565,25.288500008173287,88.24283292051405,1961.0,0.08371039298015369,0.0,27,28,28,31,88,88,88,88,88,88,88
GET,/alerts/010006,20,0,26,29.456847964320332,24.808207992464304,55.738457944244146,2.0,0.16742078596030738,0.0,27,27,30,30,53,56,56,56,56,56,56
GET,/alerts/010007,18,0,26,28.118861043670524,24.54012492671609,50.7133329520002,1961.0,0.15067870736427663,0.0,26,27,27,27,40,51,51,51,51,51,51
GET,/alerts/010008,13,0,27,30.731323703478736,25.110249989666045,67.56529200356454,2.0,0.1088235108741998,0.0,27,27,28,30,41,68,68,68,68,68,68
GET,/alerts/010011,13,0,28,28.26188155449927,25.91362490784377,33.25983299873769,1917.0,0.1088235108741998,0.0,28,28,29,29,31,33,33,33,33,33,33
GET,/alerts/010012,12,0,27,31.55642342365657,25.351083022542298,59.6186249749735,2.0,0.10045247157618442,0.0,27,27,28,28,52,60,60,60,60,60,60
GET,/alerts/010016,17,0,27,30.154465588138383,25.065707974135876,65.84112497512251,2.0,0.14230766806626127,0.0,27,27,29,29,42,66,66,66,66,66,66
GET,/alerts/010018,13,0,27,26.99911546929238,24.465458001941442,30.552166048437357,2.0,0.1088235108741998,0.0,27,27,28,29,29,31,31,31,31,31,31
GET,/alerts/010019,18,0,26,26.46219678637054,24.252375005744398,36.212499951943755,2.0,0.15067870736427663,0.0,26,27,27,27,28,36,36,36,36,36,36
POST,/forecast/010001,9,0,110,131.39936565938922,103.28366700559855,274.76895798463374,1509.0,0.07533935368213832,0.0,110,110,120,140,270,270,270,270,270,270,270
