Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts/010001,7,7,56,52.43389285169542,29.855582979507744,59.00187499355525,21.0,0.11752218521783898,0.11752218521783898,56,57,59,59,59,59,59,59,59,59,59
GET,/alerts/010005,9,9,54,47.4576618677626,29.20204191468656,57.54395795520395,21.0,0.15109995242293583,0.15109995242293583,54,55,56,57,58,58,58,58,58,58,58
GET,/alerts/010006,5,5,53,47.412833431735635,28.974374989047647,69.13712504319847,21.0,0.08394441801274213,0.08394441801274213,53,56,56,69,69,69,69,69,69,69,69
GET,/alerts/010007,6,6,55,49.83439601104086,32.13554201647639,66.54591695405543,21.0,0.10073330161529057,0.10073330161529057,55,55,57,57,67,67,67,67,67,67,67
GET,/alerts/010008,4,4,33,44.65178100508638,28.962416108697653,58.71804105117917,21.0,0.0671555344101937,0.0671555344101937,58,58,59,59,59,59,59,59,59,59,59
GET,/alerts/010011,7,7,55,52.40825003212584,30.937792034819722,57.552458019927144,21.0,0.11752218521783898,0.11752218521783898,55,57,57,57,58,58,58,58,58,58,58
GET,/alerts/010012,6,6,55,52.925326492792614,30.587583081796765,64.48533304501325,21.0,0.10073330161529057,0.10073330161529057,56,56,59,59,64,64,64,64,64,64,64
GET,/alerts/010016,3,3,56,57.787416696858905,32.28000004310161,85.06129099987447,21.0,0.05036665080764528,0.05036665080764528,56,56,85,85,85,85,85,85,85,85,85
GET,/alerts/010018,8,8,55,51.045104119111784,30.338292010128498,68.90033406671137,21.0,0.1343110688203874,0.1343110688203874,55,57,59,59,69,69,69,69,69,69,69
GET,/alerts/010019,6,6,55,54.91322216888269,52.432124968618155,58.024459052830935,21.0,0.10073330161529057,0.10073330161529057,56,56,56,56,58,58,58,58,58,58,58
POST,/forecast/010001,5,5,60,55.461299791932106,31.992874923162162,64.97579102870077,21.0,0.08394441801274213,0.08394441801274213,60,63,63,65,65,65,65,65,65,65,65
POST,/forecast/010005,3,3,30.015291995368898,38.105277655025326,30.015291995368898,54.13708300329745,21.0,0.05036665080764528,0.05036665080764528,30,30,54,54,54,54,54,54,54,54,54
POST,/forecast/010006,3,3,57,49.104153333852686,30.34979198127985,60.06395898293704,21.0,0.05036665080764528,0.05036665080764528,57,57,60,60,60,60,60,60,60,60,60
POST,/forecast/010007,3,3,53,47.16533333218346,28.60920806415379,59.490749961696565,21.0,0.05036665080764528,0.05036665080764528,53,53,59,59,59,59,59,59,59,59,59
POST,/forecast/010008,4,4,30,42.64328128192574,28.948458028025925,58.41020809020847,21.0,0.0671555344101937,0.0671555344101937,53,53,58,58,58,58,58,58,58,58,58
