Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts/010001,5,5,37,48.50899181328714,30.542709049768746,83.09433294925839,21.0,0.08338686485424993,0.08338686485424993,37,60,60,83,83,83,83,83,83,83,83
GET,/alerts/010005,5,5,35,38.59350839629769,28.28550001140684,55.958791985176504,21.0,0.08338686485424993,0.08338686485424993,35,42,42,56,56,56,56,56,56,56,56
GET,/alerts/010006,7,7,58,58.27448813111654,37.67929191235453,78.20579200051725,21.0,0.1167416107959499,0.1167416107959499,58,62,72,72,78,78,78,78,78,78,78
GET,/alerts/010007,5,5,55,55.66273317672312,34.35187495779246,74.10520792473108,21.0,0.08338686485424993,0.08338686485424993,55,61,61,74,74,74,74,74,74,74,74
GET,/alerts/010008,4,4,59,55.81770825665444,32.07458299584687,70.76795899774879,21.0,0.06670949188339995,0.06670949188339995,61,61,71,71,71,71,71,71,71,71,71
POST,/forecast/010001,2,2,55,58.35687497165054,54.67179196421057,62.04195797909051,21.0,0.03335474594169997,0.03335474594169997,62,62,62,62,62,62,62,62,62,62,62
POST,/forecast/010005,2,2,29.182625003159046,42.31110401451588,29.182625003159046,55.43958302587271,21.0,0.03335474594169997,0.03335474594169997,55,55,55,55,55,55,55,55,55,55,55
POST,/forecast/010006,3,3,55,51.58022236234198,30.554375029169023,69.54116700217128,21.0,0.05003211891254996,0.05003211891254996,55,55,70,70,70,70,70,70,70,70,70
POST,/forecast/010007,2,2,56.373707950115204,56.72879150370136,56.373707950115204,57.083875057287514,21.0,0.03335474594169997,0.03335474594169997,57,57,57,57,57,57,57,57,57,57,57
GET,/forecasts/010001,14,0,54,50.78737501753494,29.225541977211833,71.18337508291006,5128.0,0.2334832215918998,0.0,54,59,60,65,70,71,71,71,71,71,71
GET,/forecasts/010005,10,0,56,53.0035997973755,28.41458295006305,62.11012497078627,2.0,0.16677372970849985,0.0,56,58,59,61,62,62,62,62,62,62,62
GET,/forecasts/010006,10,0,52,48.715458589140326,27.998125064186752,73.13595898449421,2.0,0.16677372970849985,0.0,53,55,58,58,73,73,73,73,73,73,73
GET,/forecasts/010007,11,0,51,44.23951881472021,26.19074995163828,70.22504194173962,2.0,0.18345110267934983,0.0,51,54,56,56,60,70,70,70,70,70,70
GET,/forecasts/010008,11,0,55,53.037416644987054,29.26491608377546,76.44845801405609,2.0,0.18345110267934983,0.0,55,57,57,57,64,76,76,76,76,76,76
GET,/snapshots/latest/010001,9,9,31,43.21687064495765,29.439124977216125,71.36995904147625,21.0,0.15009635673764987,0.15009635673764987,31,54,55,57,71,71,71,71,71,71,71
GET,/snapshots/latest/010005,11,11,54,47.72814408749003,30.126958969049156,66.5987089741975,21.0,0.18345110267934983,0.18345110267934983,54,55,57,57,61,67,67,67,67,67,67
GET,/snapshots/latest/010006,9,9,52,44.977421122085715,29.53900001011789,61.11133296508342,21.0,0.15009635673764987,0.15009635673764987,52,53,58,58,61,61,61,61,61,61,61
GET,/snapshots/latest/010007,10,10,35,46.32767071016133,30.19320801831782,69.9127500411123,21.0,0.16677372970849985,0.16677372970849985,57,59,59,60,70,70,70,70,70,70,70
GET,/snapshots/latest/010008,15,15,47,46.374066678496696,28.73091702349484,69.1110830521211,21.0,0.2501605945627498,0.2501605945627498,47,57,58,62,64,69,69,69,69,69,69
,Aggregated,145,89,54,48.89971494658625,26.19074995163828,83.09433294925839,508.58620689655174,2.4182190807732478,1.4842861944056487,54,57,58,60,67,71,76,78,83,83,83
