Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/forecast/010016,11,0,210,274.9232236528769,206.81062492076308,727.849708055146,1857.0,0.06255986436544354,0.0,210,230,240,240,340,730,730,730,730,730,730
POST,/forecast/010018,9,0,120,920.9121434768248,114.31895801797509,6820.3751660184935,1501.0,0.051185343571726535,0.0,120,130,350,390,6800,6800,6800,6800,6800,6800,6800
POST,/forecast/010019,15,0,290,490.01456674498814,272.31862500775605,2327.1654999116436,1816.0,0.08530890595287756,0.0,290,300,450,550,840,2300,2300,2300,2300,2300,2300
GET,/forecasts/010001,44,0,28,421.17003982473926,25.059708044864237,5623.382541933097,1651.7272727272727,0.2502394574617742,0.0,28,30,35,45,190,3900,5600,5600,5600,5600,5600
GET,/forecasts/010005,45,0,27,32.31052859272394,24.973540916107595,103.2798329833895,2010.911111111111,0.2559267178586327,0.0,27,28,30,32,47,59,100,100,100,100,100
GET,/forecasts/010006,47,0,29,391.6677775436101,25.35362495109439,5805.0400000065565,1667.723404255319,0.2673012386523497,0.0,29,31,35,37,55,4500,5800,5800,5800,5800,5800
GET,/forecasts/010007,46,0,28,353.59420565098685,24.29704205133021,6496.807125047781,1993.6521739130435,0.2616139782554912,0.0,28,29,31,33,50,2600,6500,6500,6500,6500,6500
GET,/forecasts/010008,47,0,28,247.5977029795065,25.303957983851433,5363.9760840451345,1644.7446808510638,0.2673012386523497,0.0,28,30,32,38,56,750,5400,5400,5400,5400,5400
GET,/forecasts/010011,49,0,28,289.2585476808136,24.204791989177465,5586.5339590236545,1981.4489795918366,0.2786757594460667,0.0,28,31,46,56,170,1000,5600,5600,5600,5600,5600
GET,/forecasts/010012,48,0,28,460.02762241550954,25.41020791977644,6308.605417027138,1989.3333333333333,0.2729884990492082,0.0,28,29,31,31,53,4300,6300,6300,6300,6300,6300
GET,/forecasts/010016,39,0,28,266.2676708647408,25.22366598714143,6767.984124948271,2003.7435897435898,0.22180315547748167,0.0,28,29,31,31,37,2500,6800,6800,6800,6800,6800
GET,/forecasts/010018,48,0,27,415.335240427036,25.313457939773798,5724.454500013962,1644.5,0.2729884990492082,0.0,27,28,30,33,44,4300,5700,5700,5700,5700,5700
GET,/forecasts/010019,42,0,28,444.4986963977239,25.090917013585567,6501.6572079621255,1962.0,0.23886493666805717,0.0,28,29,30,32,82,5100,6500,6500,6500,6500,6500
GET,/snapshots/latest/010001,59,0,27,315.4355388734553,24.45991605054587,5620.170708978549,208.0,0.3355483634146518,0.0,27,28,31,33,51,4400,5000,5600,5600,5600,5600
GET,/snapshots/latest/010005,70,0,27,293.38133042578454,24.679666967131197,5757.5864169048145,208.0,0.3981082277800953,0.0,27,29,30,32,52,3000,5600,5800,5800,5800,5800
GET,/snapshots/latest/010006,56,0,27,307.5462454622279,24.843750055879354,6177.997999940999,208.0,0.3184865822240762,0.0,27,28,29,30,51,4100,5400,6200,6200,6200,6200
GET,/snapshots/latest/010007,57,0,27,303.3168713231326,23.23929197154939,4405.60275001917,206.0,0.32417384262093474,0.0,27,29,30,32,85,3900,4000,4400,4400,4400,4400
GET,/snapshots/latest/010008,49,0,27,273.7683674073493,24.697083048522472,6467.743125045672,206.0,0.2786757594460667,0.0,27,28,29,31,39,2400,6500,6500,6500,6500,6500
GET,/snapshots/latest/010011,51,0,27,483.1520572131244,24.31162493303418,6348.266332992353,209.0,0.29005028023978374,0.0,27,28,31,32,48,5600,5800,6300,6300,6300,6300
GET,/snapshots/latest/010012,61,0,27,369.0041112923445,25.0871250173077,5540.892375051044,207.0,0.34692288420836875,0.0,27,28,29,30,64,3900,5200,5500,5500,5500,5500
GET,/snapshots/latest/010016,58,0,27,115.15963730273833,24.483249988406897,3850.394708919339,209.0,0.32986110301779326,0.0,27,28,29,30,37,74,1200,3900,3900,3900,3900
GET,/snapshots/latest/010018,49,0,27,167.73654252756387,24.742749985307455,3503.4087920794263,207.0,0.2786757594460667,0.0,27,28,30,33,50,100,3500,3500,3500,3500,3500
GET,/snapshots/latest/010019,54,0,27,330.51069211257897,24.938707938417792,5880.448000039905,208.0,0.30711206143035924,0.0,28,29,32,35,59,3300,5300,5900,5900,5900,5900
,Aggregated,1469,0,28,340.5765285336655,23.23929197154939,6820.3751660184935,954.2498298162016,8.354585522985143,0.0,28,30,37,50,190,3300,5600,5900,6800,6800,6800
