Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts/010001,32,0,29,212.89337891357718,25.1416249666363,5661.365999956615,1889.0,0.18199233269947213,0.0,29,33,41,50,70,100,5700,5700,5700,5700,5700
GET,/alerts/010005,29,0,28,617.7938678823732,24.971790960989892,6133.599165943451,1961.0,0.16493055150889663,0.0,28,30,33,38,5500,5600,6100,6100,6100,6100,6100
GET,/alerts/010006,34,0,26,165.33036263974603,24.612250039353967,4660.725874942727,2.0,0.19336685349318913,0.0,27,27,27,30,46,54,4700,4700,4700,4700,4700
GET,/alerts/010007,34,0,27,377.13518382995113,24.00741702876985,5549.7988749993965,1961.0,0.19336685349318913,0.0,27,28,29,29,94,4100,5500,5500,5500,5500,5500
GET,/alerts/010008,32,0,27,464.7759609106288,24.566458072513342,5257.046250044368,2.0,0.18199233269947213,0.0,27,30,37,38,54,4800,5300,5300,5300,5300,5300
GET,/alerts/010011,22,0,27,30.49918171018362,25.580333080142736,62.4533339869231,1917.0,0.1251197287308871,0.0,27,28,29,29,30,60,62,62,62,62,62
GET,/alerts/010012,31,0,27,90.4199221028736,24.626625003293157,1896.0682079195976,2.0,0.17630507230261364,0.0,27,28,30,32,51,52,1900,1900,1900,1900,1900
GET,/alerts/010016,39,0,27,838.3661014272665,24.85470799729228,6649.263208033517,2.0,0.22180315547748167,0.0,27,29,35,45,5200,5700,6600,6600,6600,6600,6600
GET,/alerts/010018,36,0,27,248.21884376190914,24.564291001297534,5528.926167055033,2.0,0.20474137428690614,0.0,27,29,41,42,52,1500,5500,5500,5500,5500,5500
GET,/alerts/010019,35,0,27,215.21877857989497,24.82991700526327,3274.140416062437,2.0,0.19905411389004765,0.0,27,29,37,40,57,3200,3300,3300,3300,3300,3300
POST,/forecast/010001,13,0,110,617.2348042376913,103.30037504900247,6743.588499957696,1509.0,0.07393438515916055,0.0,110,110,110,110,110,6700,6700,6700,6700,6700,6700
POST,/forecast/010005,10,0,190,1126.026604278013,174.07674994319677,6070.263916975819,1865.0,0.05687260396858504,0.0,200,290,660,3100,6100,6100,6100,6100,6100,6100,6100
POST,/forecast/010006,13,0,130,542.2312211460219,116.41779099591076,3460.356540977955,1525.0,0.07393438515916055,0.0,130,190,250,260,1900,3500,3500,3500,3500,3500,3500
POST,/forecast/010007,14,0,180,228.11464564542152,163.8780829962343,691.7519579874352,1848.0,0.07962164555601906,0.0,180,180,200,200,360,690,690,690,690,690,690
POST,/forecast/010008,15,0,120,565.1827749951432,111.32029199507087,6665.597790968604,1501.0,0.08530890595287756,0.0,120,130,140,160,190,6700,6700,6700,6700,6700,6700
POST,/forecast/010011,17,0,190,747.1040809348992,175.73612509295344,5091.925916960463,1837.0,0.09668342674659457,0.0,190,200,220,240,4700,5100,5100,5100,5100,5100,5100
POST,/forecast/010012,9,0,170,193.82808322552592,160.47654196154326,408.280166098848,1845.0,0.051185343571726535,0.0,170,170,170,170,410,410,410,410,410,410,410
