Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts/[id],36,36,58,60.71301036475537,52.42683307733387,104.40299997571856,21.0,0.6066718020408786,0.6066718020408786,59,61,62,62,72,78,100,100,100,100,100
POST,/forecast/[id],11,11,57,57.98511372201822,54.794583003968,61.73849990591407,21.0,0.18537193951249067,0.18537193951249067,57,60,61,61,61,62,62,62,62,62,62
GET,/forecasts/[id],48,48,58,60.03480911507116,52.02950001694262,131.6179590066895,21.0,0.8088957360545047,0.8088957360545047,58,59,61,61,65,70,130,130,130,130,130
GET,/snapshots/latest/[id],45,45,58,61.585540733196666,50.902208080515265,120.11341599281877,21.0,0.7583397525510982,0.7583397525510982,58,60,62,64,73,84,120,120,120,120,120
,Aggregated,140,140,58,60.54660567564757,50.902208080515265,131.6179590066895,21.0,2.3592792301589722,2.3592792301589722,58,60,61,62,68,78,100,120,130,130,130
